,LMV,UMV,lithosphere,ice_history,esl_curve,deglacial_rate,posterior_trace,posterior_predict,hmc_divergence_pct
output71Cp55_Colleoni_Glac_Wael_T,5e+21,5e+20,71.0,Colleoni,Wael,T,True,True,7.0
output71Cp55_L6G-32_Glac_Wael_S,5e+21,5e+20,71.0,L6G-32,Wael,S,True,True,18.0
output71Cp55_L6G-32_Glac_Wael_T,5e+21,5e+20,71.0,L6G-32,Wael,T,True,True,30.0
output71Cp55_L6G-47_Glac_Wael_S,5e+21,5e+20,71.0,L6G-47,Wael,S,True,True,7.0
output71Cp55_L6G-47_Glac_Wael_T,5e+21,5e+20,71.0,L6G-47,Wael,T,True,True,14.0
output71Cp55_L6G_Glac_Wael_S,5e+21,5e+20,71.0,L6G,Wael,S,True,True,8.0
output71Cp55_L6G_Glac_Wael_T,5e+21,5e+20,71.0,L6G,Wael,T,True,True,19.0
output71Cp55_Lambeck_Glac_Wael_S,5e+21,5e+20,71.0,Lambeck,Wael,S,True,True,6.0
output71Cp55_Lambeck_Glac_Wael_T,5e+21,5e+20,71.0,Lambeck,Wael,T,True,True,28.0
output71Cp57_Colleoni_Glac_Wael_S,7e+21,5e+20,71.0,Colleoni,Wael,S,True,True,22.0
output71Cp57_Colleoni_Glac_Wael_T,7e+21,5e+20,71.0,Colleoni,Wael,T,True,True,4.0
output71Cp57_L6G-32_Glac_Wael_S,7e+21,5e+20,71.0,L6G-32,Wael,S,True,True,17.0
output71Cp57_L6G-32_Glac_Wael_T,7e+21,5e+20,71.0,L6G-32,Wael,T,True,True,22.0
output71Cp57_L6G-47_Glac_Wael_S,7e+21,5e+20,71.0,L6G-47,Wael,S,True,True,17.0
output71Cp57_L6G-47_Glac_Wael_T,7e+21,5e+20,71.0,L6G-47,Wael,T,True,True,17.0
output71Cp57_L6G_Glac_Wael_S,7e+21,5e+20,71.0,L6G,Wael,S,True,True,7.0
output71Cp57_L6G_Glac_Wael_T,7e+21,5e+20,71.0,L6G,Wael,T,True,True,32.0
output71Cp57_Lambeck_Glac_Wael_S,7e+21,5e+20,71.0,Lambeck,Wael,S,True,True,5.0
output71Cp57_Lambeck_Glac_Wael_T,7e+21,5e+20,71.0,Lambeck,Wael,T,True,True,17.0
output96Cp310_Colleoni_Glac_Wael_S,1e+22,3e+20,96.0,Colleoni,Wael,S,True,True,4.0
output96Cp310_Colleoni_Glac_Wael_T,1e+22,3e+20,96.0,Colleoni,Wael,T,True,True,5.0
