,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale,LMV,UMV,lithosphere,ice_history,esl_curve,deglacial_rate,true_model
output96Cp510_ICE6G_Wael_S,114,-32.54474660964837,7.542767720699921,8.57925761709641,1.4514151713584948e-05,1.0573319987994062e-13,0.0,True,log,1e+22,5e+20,96,ICE6G,Wael,S,False
output71Cp530_ICE6G_Wael_S,115,-32.67687799042863,7.473363620854606,8.711388997876668,1.2717675187562743e-05,5.249328443426162e-13,0.0,True,log,3e+22,5e+20,71,ICE6G,Wael,S,False
output71Cp510_ICE6G_Wael_S,116,-32.765899528784786,7.346729216010985,8.800410536232825,1.1634458261695322e-05,2.231262585910949e-14,0.0,True,log,1e+22,5e+20,71,ICE6G,Wael,S,False
output48Cp320_Lambeck_Wael_T,117,-32.817412254862816,8.430519474350866,8.851923262310855,1.1050310294285203e-05,1.247874180312124e-13,0.0,True,log,2e+22,3e+20,48,Lambeck,Wael,T,False
output71Cp310_ICE6G_Wael_S,118,-32.87944608074114,6.8633432828344425,8.913957088189179,1.0385646229782607e-05,1.8430782116489233e-13,0.0,True,log,1e+22,3e+20,71,ICE6G,Wael,S,False
output48Cp310_Colleoni_Wael_T,119,-32.880806047488896,8.234205426067877,8.915317054936935,1.0371531696079825e-05,1.629920221525224e-13,0.0,True,log,1e+22,3e+20,48,Colleoni,Wael,T,False
output71Cp33_Lambeck_Wael_T,120,-32.90885146146353,8.359248727387449,8.943362468911566,1.008469877052456e-05,4.196588200630692e-13,0.0,True,log,3e+21,3e+20,71,Lambeck,Wael,T,False
output96Cp37_ICE6G_Wael_T,121,-32.91850950652466,6.968943623813082,8.953020513972696,9.987769124264317e-06,7.167779945729255e-13,0.0,True,log,7e+21,3e+20,96,ICE6G,Wael,T,False
output96Cp35_Colleoni_Wael_T,122,-32.9552020081186,10.29190176582112,8.989713015566636,9.627934869916423e-06,3.916794245283798e-13,0.0,True,log,5e+21,3e+20,96,Colleoni,Wael,T,False
output96Cp33_Colleoni_Wael_T,123,-33.06709660650845,9.403756009456774,9.101607613956489,8.608707205819449e-06,4.058900358327546e-13,0.0,True,log,3e+21,3e+20,96,Colleoni,Wael,T,False
output71Cp33_Colleoni_Wael_T,124,-33.08511502234978,8.977912911388508,9.119626029797821,8.454981049514882e-06,5.928673488313129e-13,0.0,True,log,3e+21,3e+20,71,Colleoni,Wael,T,False
output71Cp53_Lambeck_Wael_T,125,-33.164230342486604,7.736541861133016,9.198741349934643,7.811839135874473e-06,6.048397950739062e-13,0.0,True,log,3e+21,5e+20,71,Lambeck,Wael,T,False
output48Cp330_Colleoni_Wael_T,126,-33.16439229782785,8.9278258680047,9.198903305275891,7.810574069246546e-06,5.226871969944057e-13,0.0,True,log,3e+22,3e+20,48,Colleoni,Wael,T,False
output48Cp37_Colleoni_Wael_T,127,-33.19435954781981,8.132376771457096,9.228870555267846,7.579984960453394e-06,1.461029041550056e-13,0.0,True,log,7e+21,3e+20,48,Colleoni,Wael,T,False
output96Cp53_Colleoni_Wael_T,128,-33.20000277927932,8.886463291496192,9.234513786727362,7.537329820475776e-06,8.304643122258854e-13,0.0,True,log,3e+21,5e+20,96,Colleoni,Wael,T,False
output96Cp320_ICE6G_Wael_S,129,-33.20715545812224,6.984908808321414,9.241666465570276,7.483610070026588e-06,4.840486534789387e-13,0.0,True,log,2e+22,3e+20,96,ICE6G,Wael,S,False
output48Cp320_Colleoni_Wael_T,130,-33.229680667354614,8.646930898770506,9.264191674802653,7.316924548264777e-06,2.7044574056714354e-13,0.0,True,log,2e+22,3e+20,48,Colleoni,Wael,T,False
output48Cp310_Lambeck_Wael_T,131,-33.24014545839813,8.596292387090365,9.27465646584617,7.240753712857069e-06,4.187848558834372e-13,0.0,True,log,1e+22,3e+20,48,Lambeck,Wael,T,False
output96Cp330_ICE6G_Wael_S,132,-33.297949156643135,7.183817729616884,9.332460164091174,6.8340782704335755e-06,6.030918729923649e-13,0.0,True,log,3e+22,3e+20,96,ICE6G,Wael,S,False
output48Cp330_Lambeck_Wael_T,133,-33.36114277254319,8.977956828158725,9.395653779991228,6.41557091390911e-06,3.8660479420422414e-14,0.0,True,log,3e+22,3e+20,48,Lambeck,Wael,T,False
output71Cp57_Colleoni_Wael_T,134,-33.380530264718544,9.550109252511774,9.415041272166583,6.292387054522488e-06,4.343113062281459e-13,0.0,True,log,7e+21,5e+20,71,Colleoni,Wael,T,False
output71Cp520_Lambeck_Wael_T,135,-33.40222209720042,9.249763038832661,9.43673310464846,6.157363398301907e-06,5.817757563552367e-13,0.0,True,log,2e+22,5e+20,71,Lambeck,Wael,T,False
output48Cp55_Colleoni_Wael_T,136,-33.43612972581447,7.307756407487126,9.470640733262506,5.9520817811478725e-06,2.1715565311407295e-13,0.0,True,log,5e+21,5e+20,48,Colleoni,Wael,T,False
output71Cp53_ICE6G_Wael_S,137,-33.44445325574595,7.235225085463455,9.478964263193987,5.902745062955014e-06,2.975631327517266e-13,0.0,True,log,3e+21,5e+20,71,ICE6G,Wael,S,False
output96Cp35_ICE6G_Wael_S,138,-33.46114932756127,7.262523372638981,9.495660335009312,5.8050105688941285e-06,2.123016798591622e-13,0.0,True,log,5e+21,3e+20,96,ICE6G,Wael,S,False
