,lat,lon,rsl,rsl_er_max,rsl_er_min,age,age_er_max,age_er_min,rsl_er,age_er
3113,53.31,-3.53,-1.91,0.34,0.34,5377.0,362.0,505.0,0.34,433.5
3114,53.4,-3.15,-1.54,0.21,0.21,5387.0,188.0,320.0,0.21,254.0
3116,54.4,-4.36,2.09,0.21,0.21,5394.0,185.0,322.0,0.21,253.5
3121,53.31,0.27,-6.45,0.4,0.4,5403.0,172.0,103.0,0.4,137.5
3127,53.41,-3.1,-2.82,0.21,0.21,5435.0,150.0,123.0,0.21,136.5
3129,53.92,-3.01,-0.2,0.21,0.21,5446.0,144.0,138.0,0.21,141.0
3131,53.33,-3.46,-1.58,0.33,0.33,5463.0,124.0,143.0,0.33,133.5
3133,53.06,0.15,-5.9,0.21,0.21,5475.0,113.0,153.0,0.21,133.0
3136,54.93,-4.41,4.07,0.41,0.41,5492.0,96.0,167.0,0.41,131.5
3138,54.25,-3.2,0.67,0.21,0.21,5510.0,82.0,183.0,0.21,132.5
3140,54.67,-1.19,-3.02,0.24,0.24,5511.0,88.0,185.0,0.24,136.5
3145,53.81,-3.03,-2.02,0.22,0.22,5520.0,138.0,198.0,0.22,168.0
3146,53.71,-0.96,-6.94,0.21,0.21,5521.0,123.0,192.0,0.21,157.5
3148,53.93,-2.84,-1.72,0.24,0.24,5555.0,356.0,467.0,0.24,411.5
3150,54.83,-3.37,3.6,0.21,0.21,5580.0,297.0,259.0,0.21,278.0
3152,53.66,-0.71,-6.91,0.21,0.21,5588.0,124.0,249.0,0.21,186.5
3153,53.9,-2.89,0.24,0.21,0.21,5593.0,1043.0,1153.0,0.21,1098.0
3159,53.27,0.32,-6.09,0.21,0.21,5628.0,224.0,158.0,0.21,191.0
3160,53.48,-0.75,-6.01,0.21,0.21,5631.0,111.0,150.0,0.21,130.5
3165,53.76,-3.0,-1.39,0.21,0.21,5641.0,254.0,308.0,0.21,281.0
3171,54.67,-1.19,-2.8,0.24,0.24,5676.0,197.0,86.0,0.24,141.5
3174,54.26,-3.19,-0.76,0.21,0.21,5691.0,194.0,97.0,0.21,145.5
3175,53.39,-3.14,-1.77,0.21,0.21,5691.0,180.0,90.0,0.21,135.0
3180,54.23,-3.02,-1.58,0.21,0.21,5706.0,185.0,110.0,0.21,147.5
3181,53.75,-2.99,-0.87,0.21,0.21,5708.0,562.0,630.0,0.21,596.0
3182,53.92,-3.01,-0.35,0.21,0.21,5714.0,177.0,113.0,0.21,145.0
3183,53.58,-0.1,-5.48,0.21,0.21,5719.0,172.0,115.0,0.21,143.5
3185,53.57,-0.5,-10.72,0.21,0.21,5734.0,164.0,132.0,0.21,148.0
3186,53.8,-0.37,-4.25,0.21,0.21,5738.0,156.0,125.0,0.21,140.5
3188,53.76,-3.02,-1.17,0.21,0.21,5748.0,152.0,137.0,0.21,144.5
3189,55.34,-1.6,-0.62,0.21,0.21,5748.0,147.0,97.0,0.21,122.0
3190,53.74,-0.07,-5.47,0.27,0.27,5755.0,149.0,144.0,0.27,146.5
3191,54.2,-2.82,0.42,0.21,0.21,5764.0,220.0,178.0,0.21,199.0
3192,54.93,-4.45,5.16,0.21,0.21,5779.0,219.0,290.0,0.21,254.5
3196,53.33,0.27,-6.58,0.21,0.21,5797.0,109.0,138.0,0.21,123.5
3197,53.58,-0.1,-5.12,0.21,0.21,5810.0,108.0,149.0,0.21,128.5
3200,53.71,-0.96,-7.73,0.21,0.21,5815.0,108.0,152.0,0.21,130.0
3202,53.74,-0.07,-5.62,0.27,0.27,5816.0,114.0,154.0,0.27,134.0
3206,53.4,-3.15,-1.37,0.21,0.21,5846.0,140.0,105.0,0.21,122.5
3210,55.7,-1.94,1.19,0.21,0.21,5867.0,123.0,124.0,0.21,123.5
3211,53.92,-3.01,-0.66,0.06,0.06,5869.0,119.0,123.0,0.06,121.0
3214,53.74,-0.07,-5.47,0.27,0.27,5887.0,290.0,228.0,0.27,259.0
3222,54.61,-1.24,-3.43,0.4,0.4,5923.0,255.0,188.0,0.4,221.5
3226,55.7,-1.94,1.34,0.21,0.21,5947.0,229.0,194.0,0.21,211.5
3228,54.36,-3.41,0.19,0.26,0.26,5958.0,215.0,61.0,0.26,138.0
3229,53.74,-0.07,-5.62,0.27,0.27,5967.0,213.0,208.0,0.27,210.5
3230,53.27,0.32,-5.79,0.21,0.21,5968.0,213.0,212.0,0.21,212.5
3236,53.28,-2.77,-3.68,0.21,0.21,6014.0,877.0,967.0,0.21,922.0
3237,54.61,-1.22,-3.02,0.21,0.21,6017.0,162.0,97.0,0.21,129.5
3238,54.67,-1.19,-2.97,0.25,0.25,6022.0,241.0,247.0,0.25,244.0
3239,53.4,-3.15,-2.01,0.21,0.21,6023.0,157.0,105.0,0.21,131.0
3244,54.3,-2.81,0.0,0.36,0.36,6064.0,233.0,313.0,0.36,273.0
3245,54.68,-1.2,-4.28,0.24,0.24,6071.0,229.0,319.0,0.24,274.0
3246,55.39,-1.62,-1.1,0.22,0.22,6073.0,113.0,134.0,0.22,123.5
3248,55.69,-1.94,2.05,0.21,0.21,6078.0,183.0,151.0,0.21,167.0
3254,53.31,0.27,-7.54,0.21,0.21,6093.0,178.0,156.0,0.21,167.0
3257,53.63,-0.11,-6.1,0.21,0.21,6105.0,167.0,155.0,0.21,161.0
3265,53.02,0.04,-8.06,0.21,0.21,6153.0,125.0,149.0,0.21,137.0
3268,54.87,-3.19,0.87,0.21,0.21,6159.0,635.0,668.0,0.21,651.5
3271,53.36,0.23,-7.64,0.21,0.21,6179.0,104.0,175.0,0.21,139.5
3272,55.02,-3.52,0.9,0.22,0.22,6184.0,354.0,423.0,0.22,388.5
3277,54.21,-3.0,-1.13,0.21,0.21,6217.0,196.0,273.0,0.21,234.5
3279,53.63,-0.11,-6.45,0.21,0.21,6221.0,169.0,222.0,0.21,195.5
3284,53.92,-3.01,-0.72,0.4,0.4,6235.0,77.0,214.0,0.4,145.5
3287,53.39,-3.14,-2.73,0.21,0.21,6253.0,160.0,253.0,0.21,206.5
3296,54.67,-1.19,-3.23,0.24,0.24,6332.0,198.0,306.0,0.24,252.0
3298,53.47,0.05,-8.36,0.4,0.4,6338.0,95.0,121.0,0.4,108.0
3300,53.02,0.04,-8.31,0.8,0.8,6352.0,83.0,67.0,0.8,75.0
3301,55.01,-3.6,4.35,0.21,0.21,6355.0,117.0,133.0,0.21,125.0
3302,53.71,-0.7,-8.18,0.21,0.21,6356.0,128.0,138.0,0.21,133.0
3305,53.57,-3.03,-2.6,0.21,0.21,6364.0,479.0,453.0,0.21,466.0
3310,54.38,-4.5,2.12,0.5,0.5,6387.0,105.0,91.0,0.5,98.0
3311,53.77,-0.73,-7.35,0.22,0.22,6390.0,91.0,85.0,0.22,88.0
3312,53.57,-3.02,-2.74,0.21,0.21,6390.0,91.0,85.0,0.21,88.0
3315,54.67,-1.19,-2.13,0.21,0.21,6399.0,227.0,121.0,0.21,174.0
3321,54.67,-1.19,-2.54,0.21,0.21,6437.0,189.0,137.0,0.21,163.0
3324,53.92,-3.01,-1.14,0.21,0.21,6444.0,171.0,136.0,0.21,153.5
3325,53.58,-0.08,-10.58,0.21,0.21,6447.0,110.0,129.0,0.21,119.5
