,lat,lon,rsl,rsl_er_max,rsl_er_min,age,age_er_max,age_er_min,rsl_er,age_er
8234,53.31017649,6.52800006,-3.87,0.226,0.226,5720.0,175.0,120.0,0.226,147.5
8235,53.23387903,6.7356976,-2.325,0.539,0.539,5695.0,220.0,225.0,0.539,222.5
8236,53.21781037,6.50647167,-3.3,0.54,0.54,5575.0,305.0,255.0,0.54,280.0
8237,53.25656625,5.76977494,-4.285,0.225,0.225,5520.0,70.0,190.0,0.225,130.0
8238,53.30779985,5.88913308,-3.655,0.22399999999999998,0.22399999999999998,5305.0,290.0,345.0,0.22399999999999998,317.5
8239,53.17765065,7.0930038,-3.005,0.225,0.225,4900.0,375.0,275.0,0.225,325.0
8240,53.21772981,6.51507935,-2.3,0.54,0.54,4630.0,200.0,200.0,0.54,200.0
8241,53.30330709,6.97493296,-1.87,0.353,0.353,4195.0,190.0,110.0,0.353,150.0
8242,53.17765065,7.0930038,-1.895,0.225,0.225,3540.0,150.0,140.0,0.225,145.0
8243,53.17765065,7.0930038,-0.92,0.22399999999999998,0.22399999999999998,3055.0,265.0,195.0,0.22399999999999998,230.0
8244,53.27236805,4.96113853,-1.16,0.22399999999999998,0.22399999999999998,2890.0,145.0,130.0,0.22399999999999998,137.5
8245,53.20868921,6.88911524,-1.3,0.54,0.54,2850.0,155.0,110.0,0.54,132.5
8246,53.28572298,4.99024868,-0.965,0.539,0.539,2440.0,275.0,260.0,0.539,267.5
8247,53.3933368,5.2585027,-0.11,0.54,0.54,1505.0,185.0,115.0,0.54,150.0
8248,53.39512741,5.25248375,0.88,0.539,0.539,1455.0,95.0,110.0,0.539,102.5
8249,53.30833092,5.06791005,0.18,0.22399999999999998,0.22399999999999998,1420.0,105.0,70.0,0.22399999999999998,87.5
8250,53.30909515,5.06805442,-0.06,0.539,0.539,1380.0,140.0,70.0,0.539,105.0
8251,53.40391689,5.36147449,0.205,0.225,0.225,1235.0,50.0,60.0,0.225,55.0
8252,53.367787,5.23363885,0.525,0.22399999999999998,0.22399999999999998,1205.0,85.0,135.0,0.22399999999999998,110.0
8253,53.40274884,5.36207667,0.535,0.28300000000000003,0.34700000000000003,795.0,120.0,95.0,0.31500000000000006,107.5
8254,53.37626678,5.26185996,-0.12,0.539,0.575,610.0,70.0,60.0,0.5569999999999999,65.0
8255,53.47827231,6.13906969,1.045,0.226,0.226,535.0,95.0,30.0,0.226,62.5
8256,53.48654463,6.15254855,1.625,0.228,0.228,485.0,160.0,180.0,0.228,170.0
8257,53.44908713,5.83772049,1.24,0.22399999999999998,0.22399999999999998,450.0,55.0,135.0,0.22399999999999998,95.0
8258,53.28155727,5.02267518,1.09,0.22399999999999998,0.22399999999999998,330.0,130.0,180.0,0.22399999999999998,155.0
